Observation,a_443,S_mod1,SR,r2_mod1,Station_name,Station_name_norsk,Station_code,Depth,Date,Comment
VR54_Straumsfjorden_210519_5m,0.124076645,0.017832201,1.429523713,0.996819013,straumsfjorden,Straumsfjorden,VR54,5,19/05/2021,
VR21_Bugoynes_210916_10m,0.124758212,0.016097698,1.918115645,0.998333609,Bugoeynes,Bugøynes,VR21,10,16/09/2021,
VR21_210707_5m,0.124920881,0.017893205,1.202200025,0.998405537,Bugoeynes,Bugøynes,VR21,5,07/07/2021,
VT16_210624_30m_ufiltrert,0.125662463,0.015830479,2.188789134,0.997670461,Kyrkjeboe,Kyrkjebø,VT16,30,24/06/2021,
VT16_Kyrkjebo_210818_0m,0.12923596,0.017058501,1.58966901,0.9989295,Kyrkjeboe,Kyrkjebø,VT16,0,18/08/2021,
VR54_Straumsfjorden_210621_10m,0.129409195,0.017089192,1.559327393,0.997390471,straumsfjorden,Straumsfjorden,VR54,10,21/06/2021,
VT71_Skinnbrokleia_211025_20m,0.129734142,0.018913849,1.448167107,0.999045185,Skinnbrokleia,Skinnbrokleia,VT71,20,25/10/2021,
VR54_Straumsfjorden_210519_10m,0.129770029,0.018903744,1.848031777,0.994647229,straumsfjorden,Straumsfjorden,VR54,10,19/05/2021,
VR58_210603_0m,0.131069203,0.016877933,1.352166776,0.998346119,Ullsfjorden,Ullsfjorden,VR58,0,03/06/2021,
VT16_210624_0m,0.134008993,0.018394307,1.312544717,0.998813776,Kyrkjeboe,Kyrkjebø,VT16,0,24/06/2021,
VR54_Straumsfjorden_210830_5m,0.134870382,0.017584431,1.655093567,0.998591003,Straumsfjorden,Straumsfjorden,VR54,5,30/08/2021,
VR54_Straumsfjorden_210928_30m,0.136221176,0.016874615,2.055646246,0.998406396,Straumsfjorden,Straumsfjorden,VR54,30,28/09/2021,
VR58_Ullsfjorden_210902_20m,0.136580718,0.016306069,1.845128664,0.998552412,Ullsfjorden,Ullsfjorden,VR58,20,02/09/2021,
VR21_210610_5m,0.137729041,0.018582915,1.206144445,0.999011212,Bugoeynes,Bugøynes,VR21,5,10/06/2021,
VR21_Bugoynes_210812_5m,0.137800735,0.015440225,1.737672449,0.998807692,Bugoeynes,Bugøynes,VR21,5,12/08/2021,
VR21_Bugoynes_210812_10m,0.139166914,0.014898876,1.891902611,0.998308587,Bugoeynes,Bugøynes,VR21,10,12/08/2021,
VT71Skinnbrokleia_210712_5m,0.139577486,0.017702769,1.669572151,0.997199706,Skinnbrokleia,Skinnbrokleia,VT71,5,12/07/2021,
VR58_Ullsfjorden_210902_0m,0.140570148,0.015970175,1.842401248,0.998792622,Ullsfjorden,Ullsfjorden,VR58,0,02/09/2021,
VR54_Straumsfjorden_210830_0m,0.142382162,0.017110582,1.540686444,0.999045483,Straumsfjorden,Straumsfjorden,VR54,0,30/08/2021,
VT16_210624_5m,0.142811547,0.017770704,1.396573225,0.998882484,Kyrkjeboe,Kyrkjebø,VT16,5,24/06/2021,
VR54_Straumsfjorden_210503_10m,0.142955073,0.016766509,1.855357748,0.995639232,straumsfjorden,Straumsfjorden,VR54,10,03/05/2021,
VT16_Kyrkjebo_210916_5m,0.146965674,0.014550369,1.684126332,0.998873839,Kyrkjeboe,Kyrkjebø,VT16,5,16/09/2021,
VT71Skinnbrokleia_210617_30m,0.147882722,0.015895674,1.691939352,0.997661436,Skinnbrokleia,Skinnbrokleia,VT71,30,17/06/2021,
VR58_210624_5m,0.157141142,0.014334697,1.635745499,0.998277746,Ullsfjorden,Ullsfjorden,VR58,5,24/06/2021,
VR21_210610_0m,0.165461866,0.018221443,1.248210445,0.999162667,Bugoeynes,Bugøynes,VR21,0,10/06/2021,
VT16_Kyrkjebo_210916_30m,0.167862865,0.012748696,1.872287523,0.998957097,Kyrkjeboe,Kyrkjebø,VT16,30,16/09/2021,
VT71_Skinnbrokleia_210930_5m,0.172277889,0.016744363,1.622757684,0.999144116,Skinnbrokleia,Skinnbrokleia,VT71,5,30/09/2021,
VT71Skinnbrokleia_210712_10m,0.183920556,0.017068562,1.995191967,0.99668766,Skinnbrokleia,Skinnbrokleia,VT71,10,12/07/2021,
VR54_Straumsfjorden_210621_5m,0.185754976,0.018377891,1.299771579,0.998907428,straumsfjorden,Straumsfjorden,VR54,5,21/06/2021,
VR54_Straumsfjorden_210928_20m,0.187985767,0.016177086,2.102552822,0.998592045,Straumsfjorden,Straumsfjorden,VR54,20,28/09/2021,
VT71_Skinnbrokleia_211025_5m,0.193111718,0.018030148,1.393595729,0.999450268,Skinnbrokleia,Skinnbrokleia,VT71,5,25/10/2021,
VT71_Skinnbrokleia_211025_10m,0.194449673,0.017149338,1.58110958,0.999273951,Skinnbrokleia,Skinnbrokleia,VT71,10,25/10/2021,
VR21_Bugoynes_210916_0m,0.198956277,0.015056398,2.10844937,0.998918022,Bugoeynes,Bugøynes,VR21,0,16/09/2021,
VT71_Skinnbrokleia_211025_30m,0.219956603,0.016843967,1.666513626,0.999398094,Skinnbrokleia,Skinnbrokleia,VT71,30,25/10/2021,
VT71_Skinnbrokleia_211025_0m,0.222548533,0.018186105,1.315092734,0.999579936,Skinnbrokleia,Skinnbrokleia,VT71,0,25/10/2021,
VR21_Bugoynes_210812_0m,0.229921548,0.013731975,1.558088259,0.99909944,Bugoeynes,Bugøynes,VR21,0,12/08/2021,
VR54_Straumsfjorden_210519_20m,0.23065546,0.014007115,2.083761787,0.997370283,straumsfjorden,Straumsfjorden,VR54,20,19/05/2021,
VT71_Skinnbrokleia_210930_0m,0.231908704,0.017574959,1.437051192,0.999520758,Skinnbrokleia,Skinnbrokleia,VT71,0,30/09/2021,
VR58_Ullsfjorden_211014_5m,0.239787996,0.015033958,2.29274558,0.997861922,Ullsfjorden,Ullsfjorden,VR58,5,14/10/2021,
